id_fkt,fkt,firaisana,distrika
117150001,Tanjombato Iraitsimivaky,Tanjombato,Antananarivo Atsimondrano
117311001,Tampontanana Fenoarivo,Fenoarivo,Antananarivo Atsimondrano
103050008,Talatamaty,Talatamaty,Ambohidratrimo
106390011,Talatakely,Sadabe,Manjakandriana
102379001,Talata Volonondry,Talata Volonondry,Antananarivo Avaradrano
105130030,Talata Maromena Sud,Imerintsiatosika,Arivonimamo
105130024,Talata Maromena Nord,Imerintsiatosika,Arivonimamo
104230003,Talata Avaradrano,Miantso,Ankazobe
104030001,Talata Angavo,Talata Angavo,Ankazobe
104230002,Tafaina,Miantso,Ankazobe
107070003,Tafaina,Mangamila,Anjozorobe
102010004,Sud Ambohipo,Alasora,Antananarivo Avaradrano
102319020,Soavinimerina,Ambohimanga Rova,Antananarivo Avaradrano
103150027,Soavinimerina,Mahitsy,Ambohidratrimo
115150002,Soavinimerina,Sabotsy Manjakavahoaka,Andramasina
117311002,Soavinimerina,Fenoarivo,Antananarivo Atsimondrano
105130022,Soavindray,Imerintsiatosika,Arivonimamo
103172006,Soavinarivo,Ambatolampy,Ambohidratrimo
107070004,Soavinarivo,Mangamila,Anjozorobe
115071004,Soavinarivo,Alatsinainy Bakaro,Andramasina
101003012,Soavinandriana,3e Arrondissement,3e Arrondissement
106011013,Soavinandriana,Manjakandriana,Manjakandriana
106251016,Soavinandriana,Ambatomena,Manjakandriana
106352001,Soavinandriana,Soavinandriana,Manjakandriana
115110005,Soavinandriana,Alarobia Vatosola,Andramasina
102319003,Soavinandriamanitra,Ambohimanga Rova,Antananarivo Avaradrano
104230007,Soavina,Miantso,Ankazobe
106390006,Soavina,Sadabe,Manjakandriana
117330001,Soavina,Soavina,Antananarivo Atsimondrano
117430008,Soavina,Tsiafahy,Antananarivo Atsimondrano
104050008,Soavimbahoaka Lovasoa,Ambohitromby,Ankazobe
104130010,Soavimbahoaka,Fiadanana,Ankazobe
117011010,Soavimbahoaka,Ampitatafika,Antananarivo Atsimondrano
101005002,Soavimasoandro,5e Arrondissement,5e Arrondissement
104130009,Soavimanjaka,Fiadanana,Ankazobe
103210025,Soavimalaza,Ampanotokana,Ambohidratrimo
103210028,Soavikanjaka,Ampanotokana,Ambohidratrimo
117250004,Soatsimeloka,Alatsinainy Ambazaha,Antananarivo Atsimondrano
117350010,Soaranokely,Ambohijanaka,Antananarivo Atsimondrano
101001044,Soarano Ambondrona Tsiazotafo,1er Arrondissement,1er Arrondissement
101001005,Soarano Ambondrona Ambodifilao,1er Arrondissement,1er Arrondissement
106030011,Soarano Ambany,Sambaina,Manjakandriana
101004029,Soanierana IIIJ,4e Arrondissement,4e Arrondissement
101004028,Soanierana III-I Cite Gare,4e Arrondissement,4e Arrondissement
102099005,Soanierana,Ambohimangakely,Antananarivo Avaradrano
102079022,Soaniadanana,Sabotsy Namehana,Antananarivo Avaradrano
117350002,Soanavela,Ambohijanaka,Antananarivo Atsimondrano
102279009,Soanarivo,Fiaferana,Antananarivo Avaradrano
115071005,Soanafindra,Alatsinainy Bakaro,Andramasina
102319006,Soamonina,Ambohimanga Rova,Antananarivo Avaradrano
102430004,Soamonina,Ankadinandriana,Antananarivo Avaradrano
117030003,Soamiampita,Andranonahoatra,Antananarivo Atsimondrano
103190003,Soamanjaka Nord,Ampangabe,Ambohidratrimo
103290009,Soamanjaka,Fiadanana,Ambohidratrimo
103010003,Soamananety,Ambohidratrimo,Ambohidratrimo
103030013,Soamanandray,Anosiala,Ambohidratrimo
103251005,Soamanandray,Manjakavaradrano,Ambohidratrimo
106271012,Soamanandray,Ambohitseheno,Manjakandriana
117430012,Soamanandray,Tsiafahy,Antananarivo Atsimondrano
102099009,Soamanandrariny,Ambohimangakely,Antananarivo Avaradrano
106190012,Soamalaza,Anjepy,Manjakandriana
103390008,Soaloka,Ambato,Ambohidratrimo
117210006,Soalandy,Soalandy,Antananarivo Atsimondrano
103410005,Satrokoditra,Anjanadoria,Ambohidratrimo
104030004,Sarodrivotra,Talata Angavo,Ankazobe
106011016,Samia,Manjakandriana,Manjakandriana
104150008,Sambotsy,Tsaramasoandro,Ankazobe
104090013,Sambatra,Fihaonana,Ankazobe
106030004,Sambaina Ambony,Sambaina,Manjakandriana
106030001,Sambaina Ambany,Sambaina,Manjakandriana
104050011,Sambaina,Ambohitromby,Ankazobe
103430008,Sahalemaka,Avaratsena,Ambohidratrimo
106390001,Sadabe,Sadabe,Manjakandriana
115031001,Sabotsy,Sabotsy Ambohitromby,Andramasina
115150001,Sabotsy,Sabotsy Manjakavahoaka,Andramasina
106251015,Ravoandriana,Ambatomena,Manjakandriana
